state,mean_total_duration_2023,min_total_duration_2023,max_total_duration_2023,mean_total_duration_2024,min_total_duration_2024,max_total_duration_2024,name,area,total_population,adult_population,young_population
FL,11475.18325,11150,11850,9030.492147,8680,9440,Florida,65758,22610726,18229883,4380843
LA,11386.45492,11180,11560,9566.905738,9520,9630,Louisiana,51843,4573749,3506600,1067149
TX,11239.80222,10640,11590,9592.216088,9140,9730,Texas,268601,30503301,22942176,7561125
MS,11163.91101,10900,11460,9478.313817,9400,9560,Mississippi,48434,2939690,2259864,679826
AL,11094.9747,10800,11440,9392.951096,9330,9480,Alabama,52423,5108468,3977628,1130840
PR,11078.90411,10920,11210,4821.815068,4550,5100,Puerto Rico,3515,3205691,2707012,498679
GA,10962.4,10670,11300,9254.785185,9100,9340,Georgia,59441,11029227,8490546,2538681
AR,10949.344,10760,11180,9449.692308,9360,9540,Arkansas,53182,3067732,2362124,705608
OK,10878.36686,10600,11080,9383.843284,9100,9500,Oklahoma,69903,4053824,3087217,966607
TN,10696.09127,10350,10930,9311.884921,9150,9420,Tennessee,42146,7126489,5555761,1570728
SC,10646.8,10440,10910,9134.210526,9000,9240,South Carolina,32007,5373555,4229354,1144201
NM,10578.08889,10390,10840,9059.089184,8740,9430,New Mexico,121593,2114371,1663024,451347
KS,10562.25676,10380,10750,9167.189189,8910,9330,Kansas,82282,2940546,2246209,694337
MO,10543.01294,10260,10810,9227.035011,9050,9380,Missouri,69709,6196156,4821686,1374470
KY,10381.6426,10090,10720,9214.864341,9120,9350,Kentucky,40411,4526154,3509259,1016895
CO,10328.33333,10110,10590,8763.617464,8410,9100,Colorado,104100,5877610,4662926,1214684
NC,10287.73196,9810,10700,9042.100515,8830,9270,North Carolina,53821,10835491,8498868,2336623
AZ,10255.2809,10010,10490,8779.014989,8320,9120,Arizona,114006,7431344,5848310,1583034
NE,10254.33898,10030,10410,8902.355932,8500,9100,Nebraska,77358,1978379,1497381,480998
IL,10185.38988,9820,10660,9092.396694,8960,9270,Illinois,57918,12549689,9844167,2705522
IN,10109.23868,9760,10490,9079.611399,9000,9260,Indiana,36420,6862199,5274945,1587254
IA,10092.70244,9830,10330,8958.936585,8760,9120,Iowa,56276,3207004,2476882,730122
UT,9980.957854,9840,10230,8213.573574,7900,8690,Utah,84904,3417734,2484582,933152
WY,9950.829268,9690,10200,8223.756098,7730,8640,Wyoming,97818,584057,454508,129549
WV,9939.29385,9500,10230,9058.906606,8920,9140,West Virginia,24231,1770071,1417859,352212
SD,9881.752577,9640,10100,8567.175258,8170,8860,South Dakota,77121,919318,697420,221898
VA,9841.815476,9480,10440,8983.452381,8830,9210,Virginia,42769,8715698,6834154,1881544
OH,9815.754941,9360,10160,9063.164336,8940,9150,Ohio,44828,11785935,9207681,2578254
NV,9734.859813,9540,10010,7771.729323,7280,8420,Nevada,110567,3194176,2508220,685956
WI,9656.307311,9300,9940,8818.203222,8530,8970,Wisconsin,65503,5910955,4661826,1249129
MN,9634.824945,9100,9960,8599.540481,8100,8860,Minnesota,86943,5737915,4436981,1300934
ID,9578.050847,9220,9880,7375.211864,6670,8000,Idaho,83574,1964726,1497384,467342
CA,9560.8,9240,10050,7634.487896,6600,8620,California,163707,38965193,30519524,8445669
DC,9510,9510,9510,8900,8900,8900,District of Columbia,68,678972,552380,126592
MD,9474.253731,9250,9690,8893.544776,8820,8990,Maryland,12407,6180253,4818337,1361916
MT,9469.45674,9220,9790,7420.040241,6740,8200,Montana,147046,1132812,897161,235651
ND,9469.285714,9220,9690,8157.019704,7760,8470,North Dakota,70704,783926,599192,184734
MI,9461.66443,8940,9870,8861.563342,8520,9020,Michigan,96810,10037261,7925350,2111911
DE,9293.037975,9180,9410,8827.341772,8810,8850,Delaware,1954,1031890,819952,211938
PA,9282.897246,8810,9730,8872.735278,8740,9010,Pennsylvania,46058,12961683,10332678,2629005
OR,9266.114865,9110,9590,6550.023474,6100,7340,Oregon,98386,4233358,3401528,831830
WA,9154.694836,8980,9390,6279.389671,5730,6950,Washington,71303,7812880,6164810,1648070
NJ,8980.328571,8760,9260,8764.528571,8720,8820,New Jersey,8722,9290841,7280551,2010290
NY,8696.764706,7970,9240,8707.35658,8600,8850,New York,54475,19571216,15611308,3959908
CT,8533.906977,8300,8730,8664.651163,8610,8710,Connecticut,5544,3617176,2894190,722986
RI,8320,8240,8420,8604.444444,8580,8620,Rhode Island,1545,1095962,892124,203838
MA,8179.475806,7990,8480,8579.798387,8530,8660,Massachusetts,10555,7001399,5659598,1341801
VT,8058.603352,7680,8360,8597.608696,8540,8640,Vermont,9615,647464,532828,114636
NH,7998.5,7700,8250,8555.833333,8500,8610,New Hampshire,9351,1402054,1150004,252050
ME,7444.387097,6700,7930,8450.23622,8260,8530,Maine,35387,1395722,1146670,249052
AK,2479.323944,0,8310,348.6760563,0,3860,Alaska,656425,733406,557899,175507
HI,825.0306748,300,1210,5000.184049,4630,5340,Hawaii,10932,1435138,1141525,293613
